source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,LogisticRegression_TWCW_pred,LogisticRegression_TWCW_proba
ALMM,ALM,2024-01,2024,1,1,1887.0,1.23,670,4988.0,3.25,744,1534,0.4368,0.485,1,1854,1,1854.0,0,4,6709.0,5208.0,11917.0,3.0,1.5,1.5,16,31.396825396825395,15.11111111111111,16.285714285714285,8027.4400000000005,8593.0,16620.440000000002,1,0.09090909090909091,64,0.7213475204444817,0.25,3.8092364938278753,0.09489247373114991,0.00620967734565017,0.0,20.068057966168208,35.80403124901556,3.491763406032596,3.933755411155602,0.08884408642407707,0.0033870967685855845,0.0,20.91069567123408,36.282579628370144,2.906134478875526,1,0.0323,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.7686442151291133
RVS,WC,2024-01,2024,1,7,1829.0,1.6,538,6999.0,6.12,647,1143,0.4707,0.5661,0,1084,1,1084.0,0,4,2180.0,2180.0,4360.0,15.0,7.5,7.5,4,11.0,5.5,5.5,2181.0,2935.0,5116.0,0,0.0,16,0.0,0.0,3.401825163310634,0.08077957016485994,0.005739247286191551,0.002137096726425713,18.719984260618045,33.91596685942783,3.601153130397721,3.3185000262969244,0.08467742033623239,0.006774193396972072,0.0024059139247182555,18.204988177585346,33.62999914602567,3.585435544393496,1,0.0323,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.4973753286946383
BSMZ,HVSM,2024-01,2024,1,4,2157.0,1.21,713,6713.0,3.77,805,1779,0.4008,0.4525,1,1951,1,1951.0,0,4,3933.0,3923.0,7856.0,5.0,2.5,2.5,5,13.5,11.0,2.5,3938.0,3925.0,7863.0,0,0.0,20,0.0,0.0,3.582612937801988,0.09663978551504432,0.006397849419504725,0.001693548349243018,18.345179287897004,34.04322479168574,2.9330161967294752,3.5631128771741305,0.09663978551504432,0.006397849419504725,0.0017473117889015264,18.345179287897004,34.04322479168574,2.913516118751979,1,0.0323,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.5391031070418727
RSD,BGN,2024-01,2024,1,13,2588.0,1.79,625,10177.0,7.03,652,1447,0.4319,0.4506,138,1974,1,1974.0,0,8,3320.0,6683.0,10003.0,43.46666666666667,24.666666666666668,18.8,6,44.0,22.0,22.0,4181.0,3739.0,7920.0,0,0.0,48,0.0,0.0,3.772360194033833,0.08588709715273112,0.005739247286191551,0.0013306451315480855,18.323154083182736,34.0437087708263,3.777064482063075,3.7062606356126726,0.08454301179216434,0.0033870968186566906,0.0013978494311212212,17.946368384585586,33.45145078564203,3.70330367397557,1,0.0323,8.0,22.0,0.2629,1,0.80027646,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,1,0.49999999999999994,0.8660254037844387,1.0,0.5568822420412545
ED,KLP,2024-01,2024,1,7,1304.0,1.07,562,6584.0,5.42,666,1214,0.4629,0.5486,32,1259,1,1259.0,0,9,4314.0,5018.0,9332.0,44.1,23.5,20.6,6,42.0,21.0,21.0,2780.0,2742.0,5522.0,2,0.3333333333333333,54,0.9609582064547204,0.25263157894736843,3.2422312177437287,0.09193548511072833,0.004892473129094929,0.0028360214419863236,17.877992964559986,33.122902318995486,3.26595434445327,3.3267312269127096,0.09193548511072833,0.004892473129094929,0.0026344085432669167,17.877992964559986,33.122902318995486,3.3504543316510498,1,0.0323,8.0,22.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.44604525003006573
ALMM,AMPO,2024-01,2024,1,2,1388.0,0.51,561,7297.0,2.69,692,2709,0.2071,0.2554,1,3354,1,3354.0,0,4,6709.0,5208.0,11917.0,3.0,1.5,1.5,7,22.333333333333336,12.333333333333334,10.0,6823.0,6900.4400000000005,13723.44,1,0.2,28,0.43429448190325176,0.1,3.8092364938278753,0.09489247373114991,0.00620967734565017,0.0,20.068057966168208,35.80403124901556,3.491763406032596,3.8222365839537034,0.09489247373114991,0.00620967734565017,0.001693548349243018,20.068057966168208,35.80403124901556,3.50476346129892,1,0.0323,8.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.7979344277874303
DB,KLP,2024-01,2024,1,22,367.0,1.42,100,1429.0,5.54,124,258,0.3876,0.4806,0,672,1,672.0,0,10,5107.0,5289.0,10396.0,30.0,15.0,15.0,6,42.0,21.0,21.0,2780.0,2742.0,5522.0,2,0.3333333333333333,60,0.9609582064547204,0.25263157894736843,3.550760696201475,0.0912634415592077,0.007903225930227388,0.0019892472673648147,18.645406234328465,34.88370886925728,3.6739462164821486,3.3267312269127096,0.09193548511072833,0.004892473129094929,0.0026344085432669167,17.877992964559986,33.122902318995486,3.3504543316510498,1,0.0323,8.0,22.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.3812423741814461
RSD,ETN,2024-01,2024,1,13,756.0,0.63,281,6660.0,5.57,213,1195,0.2351,0.1782,29,1238,1,1238.0,0,8,3320.0,6683.0,10003.0,43.46666666666667,24.666666666666668,18.8,3,23.0,12.0,11.0,2495.0,1238.0,3733.0,0,0.0,24,0.0,0.0,3.772360194033833,0.08588709715273112,0.005739247286191551,0.0013306451315480855,18.323154083182736,34.0437087708263,3.777064482063075,3.6394569762601887,0.0780913982720625,0.008938171920837254,0.0013037634117188312,18.704715235899855,33.78193463016582,3.62453761687302,1,0.0323,8.0,22.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.17699625279880493
DB,ED,2024-01,2024,1,29,1441.0,1.47,395,6322.0,6.43,510,983,0.4018,0.5188,1,824,1,824.0,0,10,5107.0,5289.0,10396.0,30.0,15.0,15.0,9,44.1,23.5,20.6,4314.0,5018.0,9332.0,2,0.25,90,1.249862498521946,0.38596491228070173,3.550760696201475,0.0912634415592077,0.007903225930227388,0.0019892472673648147,18.645406234328465,34.88370886925728,3.6739462164821486,3.2422312177437287,0.09193548511072833,0.004892473129094929,0.0028360214419863236,17.877992964559986,33.122902318995486,3.26595434445327,1,0.0323,8.0,22.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.46525670243304823
RH,DR,2024-01,2024,1,6,482.0,0.48,109,1647.0,1.65,138,1000,0.109,0.138,0,1016,1,1016.0,0,4,2031.0,2031.0,4062.0,10.0,5.0,5.0,8,20.5,10.25,10.25,4432.0,4388.0,8820.0,0,0.0,32,0.0,0.0,3.17101348856444,0.09193548403920666,0.0014112903486176204,0.002231182745828103,18.17246506964007,33.90919269861713,3.4758521681300976,3.185696124537317,0.08978494708376225,0.0011290322728855636,0.002123655866511086,18.400306002747627,32.86209588537934,3.4078063546800084,1,0.0323,8.0,22.0,0.2629,0,0.062,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.938,1,0.49999999999999994,0.8660254037844387,1.0,0.6955183723112625
