source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
WD,VTN,2023-09-01,2023,9,9,426.0,0.26,164,2153.0,1.34,177,1608,0.102,0.1101,26,1810,1,1810.0,0,12,8834.0,9112.0,17946.0,28.0,14.0,14.0,4,11.0,5.5,5.5,3654.0,3250.0,6904.0,0,0.0,48,0.0,0.0,17.940097667111292,0.09763888858465684,0.0,0.0,12.157240467104646,22.463999436133438,17.866764334837594,17.961583513683742,0.09652777882292866,0.0,0.0,12.289950339661704,22.62199942668279,17.75769466029273,0,0.0,9.0,21.0,0.2629,0,0.0,0.0,0.0,0.00062189053,0.0,0.0,0.0,0.001,0.999,4,-1.0,-1.8369701987210297e-16,0.0,0.0
WD,VTN,2024-08-01,2024,8,9,439.0,0.29,172,1729.0,1.13,195,1524,0.1129,0.128,26,1740,1,1740.0,0,14,10600.0,10676.0,21276.0,27.714285714285715,13.857142857142858,13.857142857142858,4,11.0,5.5,5.5,4306.0,4268.0,8574.0,0,0.0,56,0.0,0.0,19.28116172872564,0.12150537559101658,0.0,0.0,13.199261662700485,24.72435414022015,19.821685921761297,19.218411454590417,0.09099462406048851,0.0,0.0,13.420259454037232,24.84967677567595,19.638774356534405,0,0.0,9.0,22.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.8660254037844384,-0.5000000000000004,0.0,0.0
DRON,LLS,2019-09-01,2019,9,25,681.0,0.63,306,3247.0,2.98,314,1089,0.281,0.2883,0,1121,1,1121.0,0,4,2875.0,2546.0,5421.0,42.0,21.0,21.0,10,60.8,32.8,28.0,4707.5,6073.0,10780.5,1,0.14285714285714285,40,0.9102392266268373,0.3333333333333333,14.848125038544337,0.13680555668349068,0.0,0.0,14.612205727977885,28.8594992366102,14.8710416926278,15.017471924093034,0.13972222271064919,0.0,0.0,15.795673101809289,31.26849919623799,15.188513583607143,0,0.0,9.0,21.0,0.2629,1,0.008264462,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.992,4,-1.0,-1.8369701987210297e-16,0.0,0.0
NDB,BSMZ,2020-03-01,2020,3,1,1029.0,0.5,547,20687.0,10.07,542,2054,0.2663,0.2639,1,2083,1,2083.0,0,8,6641.0,6636.0,13277.0,19.0,9.5,9.5,4,5.0,2.5,2.5,4240.0,4240.0,8480.0,0,0.0,32,0.0,0.0,6.47663306402015,0.06729475134033534,0.0,0.0,19.03917722586507,36.90460190766593,6.921114874720413,6.4506332662488015,0.06729475134033534,0.0,0.0,19.03917722586507,36.90460190766593,6.895115122660333,0,0.0,9.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.0,0.0
NDB,BSMZ,2021-03-01,2021,3,1,1256.0,0.56,781,4269.0,1.9,320,2241,0.3485,0.1428,0,2184,1,2184.0,0,8,6419.0,6286.0,12705.0,19.0,9.5,9.5,4,5.0,2.5,2.5,4410.0,4410.0,8820.0,0,0.0,32,0.0,0.0,6.261491787716405,0.09098250479067639,0.0,0.0,15.830324038121132,31.313215750864988,6.293591339780396,6.235492004961538,0.09098250479067639,0.0,0.0,15.830324038121132,31.313215750864988,6.267591611302958,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,6.123233995736766e-17,0.0,0.0
NDB,BSMZ,2022-11-01,2022,11,1,2988.0,1.51,1272,5871.0,2.96,771,1981,0.6421,0.3892,0,2052,1,2052.0,0,8,6117.0,6167.0,12284.0,19.0,9.5,9.5,4,5.0,2.5,2.5,4157.0,4181.0,8338.0,0,0.0,32,0.0,0.0,8.523388682329095,0.13388888975605368,0.0013611110962099499,0.0,17.29720390174124,31.750999091731178,8.431652567545987,8.497388829208083,0.13388888975605368,0.0013611110962099499,0.0,17.29720390174124,31.750999091731178,8.405652728594012,0,0.0,8.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.5000000000000004,0.8660254037844384,0.0,0.0
NDB,BSMZ,2023-09-01,2023,9,1,2785.0,1.6,1046,6996.0,4.02,1118,1740,0.6011,0.6425,35,1981,1,1981.0,0,8,6015.0,6040.0,12055.0,19.0,9.5,9.5,4,5.0,2.5,2.5,4035.0,4035.0,8070.0,0,0.0,32,0.0,0.0,18.019986536767746,0.08263888933385412,0.0,0.0,11.863943558186293,23.294499348269568,17.8293615632587,17.993985863526664,0.08263888933385412,0.0,0.0,11.863943558186293,23.294499348269568,17.80336087544759,0,0.0,9.0,21.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-1.0,-1.8369701987210297e-16,0.0,0.0
NDB,BSMZ,2024-08-01,2024,8,1,2278.0,1.28,976,5329.0,2.99,1023,1780,0.5483,0.5747,0,1951,1,1951.0,0,8,6179.0,6203.0,12382.0,19.0,9.5,9.5,4,5.0,2.5,2.5,3933.0,3923.0,7856.0,0,0.0,32,0.0,0.0,19.29026670353387,0.08037634397185939,0.0,0.0,12.973405391778996,25.91225734000565,19.689393117863645,19.26426589104437,0.08037634397185939,0.0,0.0,12.973405391778996,25.91225734000565,19.663392215646724,0,0.0,9.0,22.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.8660254037844384,-0.5000000000000004,0.0,0.0
ASB,ASHD,2022-07-01,2022,7,1,1533.0,0.92,556,8792.0,5.29,721,1662,0.3345,0.4338,10,2053,1,2053.0,0,15,9695.86,9627.0,19322.86,27.982142857142858,9.857142857142858,18.125,4,5.0,2.5,2.5,4048.0,4049.0,8097.0,0,0.0,60,0.0,0.0,18.08030415350391,0.04206989304993742,0.0,0.0,12.572742299367023,24.10451545382059,19.20987404418248,18.110741503777042,0.0494623657476197,0.0,0.0,12.305076352050227,23.278547739469875,19.003752120079533,0,0.0,10.0,21.0,0.2629,1,0.0,0.0,0.0,0.0054151625,0.0,0.0,0.0,0.005,0.995,3,-0.4999999999999997,-0.8660254037844388,0.0,0.0
ASB,ASA,2023-06-01,2023,6,4,463.0,1.46,136,1989.0,6.27,177,317,0.429,0.5584,12,923,1,923.0,0,16,9470.17,9502.0,18972.17,20.125,9.375,10.75,11,21.4,9.4,12.0,10503.0,10285.380000000001,20788.38,4,0.36363636363636365,176,1.8637051536410436,0.4699346405228758,18.602680921554565,0.026111111355324585,0.0,0.0,14.70458432253864,27.526499235630034,19.712819822629292,18.654680967330933,0.026111111355324585,0.0,0.0,14.70458432253864,27.526499235630034,19.76481986840566,0,0.0,8.0,22.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.2246467991473532e-16,-1.0,0.0,0.0
ASB,ASA,2023-07-01,2023,7,4,376.0,1.42,117,1383.0,5.24,144,264,0.4432,0.5455,4,923,1,923.0,0,16,9464.0,9267.67,18731.67,25.19047619047619,9.857142857142858,15.333333333333334,11,21.4,9.4,12.0,10503.0,10295.0,20798.0,3,0.25,176,1.2423702190814316,0.2699346405228758,17.81807299711371,0.1979838719351157,0.0,0.0,17.415534214306902,32.25532160683345,18.722777244865252,17.870073042890077,0.1979838719351157,0.0,0.0,17.415534214306902,32.25532160683345,18.77477729064162,0,0.0,10.0,21.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.4999999999999997,-0.8660254037844388,0.0,0.0
ASB,ASHD,2024-07-01,2024,7,1,1799.0,1.12,479,5119.0,3.2,601,1600,0.2994,0.3756,9,1595,1,1595.0,0,16,8853.17,8872.42,17725.59,24.79365079365079,12.571428571428571,12.222222222222221,4,5.0,2.5,2.5,3351.0,3351.0,6702.0,0,0.0,64,0.0,0.0,17.521836437204833,0.16129032328164064,0.0,0.0,13.932483237316852,26.197257333545274,18.29058640362114,17.602005007446454,0.17137096791217724,0.0,0.0,13.675127996312034,25.65338639097829,18.236010266888528,0,0.0,8.0,23.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.4999999999999997,-0.8660254037844388,0.0,0.0
