source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,RandomForestClassifier_OPS_pred,RandomForestClassifier_OPS_proba
GDG,GD,2021-01,2021,1,3,1379.0,0.58,495,3778.0,1.59,444,2383,0.2077,0.1863,16,3416,1,3416.0,0,4,4687.0,5742.0,10429.0,16.0,8.0,8.0,15,35.333333333333336,18.666666666666668,16.666666666666668,15117.0,10770.0,25887.0,0.0,0.0,60.0,0.0,0.0,3.3326236396397073,82.49999998509884,3.360000044107437,0.001061827933255543,16.484304100595494,105.12,3.1474758128345175,3.478599484028515,83.10000034421682,3.429999992251396,0.001061827933255543,16.652979825052523,104.76,3.265830646699635,1,0.0323,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0008392782,0.0,0.0,0.0,0.001,0.999,1,0.49999999999999994,0.8660254037844387,0.0,0.19
NDB,WP,2021-01,2021,1,9,1457.0,0.7,613,5274.0,2.52,579,2089,0.2934,0.2772,15,2131,1,2131.0,0,8,6419.0,6311.0,12730.0,19.0,9.5,9.5,8,18.0,9.0,9.0,8975.0,9046.0,18021.0,1.0,0.14285714285714285,64.0,0.9102392266268373,0.3333333333333333,3.158814454488757,82.50000067055225,2.6599999889731407,0.0008736558944507632,15.867637987418842,104.03999,3.033075219693704,3.2518038291544205,83.89999990165234,2.870000034570694,0.0008602150345361361,16.64134858676823,101.88,3.0285511245570516,1,0.0323,10.0,20.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.04
LEDN,VH,2021-01,2021,1,8,302.0,0.26,92,1107.0,0.94,99,1177,0.0782,0.0841,30,1183,1,1183.0,0,20,13423.33,14088.33,27511.66,36.6,19.0,17.6,4,18.0,9.0,9.0,2399.0,1927.0,4326.0,0.0,0.0,80.0,0.0,0.0,3.828387161276193,93.20000061392784,3.1500000059604645,0.000645161275902102,17.81329804106105,102.96,3.3972715661079893,3.8543871811551034,93.20000061392784,3.1500000059604645,0.000645161275902102,17.81329804106105,102.96,3.4232715844597306,1,0.0323,10.0,20.0,0.263,0,0.00084961765,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,1,0.49999999999999994,0.8660254037844387,0.0,0.0
GVC,VB,2021-01,2021,1,3,357.0,0.3,104,1350.0,1.13,41,1192,0.0872,0.0344,85,1842,1,1842.0,0,6,0.0,11228.55,11228.55,10.0,0.0,10.0,3,7.5,3.5,4.0,3708.0,1842.0,5550.0,0.0,0.0,18.0,0.0,0.0,3.8620269652005406,87.90000066906214,4.550000041723251,0.0006182795560728478,18.065425225323246,104.03999,3.5893790900046305,3.8945269060160923,87.90000066906214,4.550000041723251,0.0007526881552191191,18.065425225323246,104.03999,3.621879024871735,1,0.0323,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.06876137684650707
NDB,HVS,2021-01,2021,1,6,131.0,0.14,44,2379.0,2.54,130,936,0.047,0.1389,12,961,1,961.0,0,8,6419.0,6311.0,12730.0,19.0,9.5,9.5,13,21.166666666666664,12.0,9.166666666666666,11072.0,9275.0,20347.0,0.0,0.0,104.0,0.0,0.0,3.158814454488757,82.50000067055225,2.6599999889731407,0.0008736558944507632,15.867637987418842,104.03999,3.033075219693704,3.075776902433004,89.10000065714121,2.7299999967217445,0.0009139784741946446,15.31688170727863,104.399994,2.963478481712481,1,0.0323,10.0,20.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0.0,0.1
WD,BDG,2021-01,2021,1,11,721.0,0.61,376,2556.0,2.18,514,1175,0.32,0.4374,16,1172,1,1172.0,0,9,7051.0,6526.0,13577.0,26.6,13.6,13.0,4,19.0,9.5,9.5,2344.0,2345.0,4689.0,0.0,0.0,36.0,0.0,0.0,3.18143010815926,83.30000014603138,3.1500000283122063,0.0008870967543653903,16.024621155313266,105.12,3.120744600196079,3.326217727340077,83.99999997764826,3.2900000363588333,0.0008736558944507632,16.68108013624786,103.32,3.1061908381951033,1,0.0323,10.0,20.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,0.0,0.15
NS,HD,2023-01,2023,1,12,1115.0,0.98,473,3019.0,2.66,458,1137,0.416,0.4028,0,1142,1,1142.0,0,4,2257.0,2263.0,4520.0,21.0,10.5,10.5,6,29.0,10.666666666666666,18.333333333333332,2291.0,2287.0,4578.0,0.0,0.0,24.0,0.0,0.0,5.243459618890718,120.20000047236681,5.390000052750111,0.0,19.58216220092389,75.24,5.127128992650297,5.264798287317277,124.0000005364418,4.689999990165234,0.0011155913729140514,18.677218093346525,72.72,5.074542922102997,1,0.0323,9.0,22.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1.0,0.71
DRON,KPNZ,2023-01,2023,1,17,595.0,0.52,163,4130.0,3.61,241,1145,0.1424,0.2105,1,1875,1,1875.0,0,4,3703.0,3735.0,7438.0,42.0,21.0,21.0,4,32.0,16.0,16.0,3765.0,1946.0,5711.0,0.0,0.0,16.0,0.0,0.0,5.477647829655638,121.00000021606684,5.669999912381172,0.0,19.203387267567138,73.799995,5.373750001692804,5.356276858367667,123.3000006750226,3.5699999555945396,0.0,18.888658796507183,72.0,5.260981174145815,1,0.0323,9.0,22.0,0.263,0,0.045414846,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.955,1,0.49999999999999994,0.8660254037844387,0.0,0.41
HAD,LEDN,2023-01,2023,1,25,1108.0,0.94,513,4079.0,3.45,581,1182,0.434,0.4915,1,2178,1,2178.0,0,6,6781.0,5621.0,12402.0,24.0,12.0,12.0,19,36.044444444444444,18.444444444444443,17.6,15193.0,15538.0,30731.0,0.0,0.0,114.0,0.0,0.0,5.866502831614906,138.900000564754,11.689999975264072,0.0009005376142800175,20.988463723531332,81.36,5.658572705983315,5.906881690265671,123.20000088214874,7.2799999713897705,0.0,21.778532194354202,80.28,5.563198902453947,1,0.0323,9.0,22.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.49999999999999994,0.8660254037844387,1.0,0.81
VP,RH,2023-01,2023,1,4,413.0,0.41,125,3064.0,3.03,195,1012,0.1235,0.1927,0,1023,1,1023.0,0,4,2036.0,2037.0,4073.0,7.0,3.5,3.5,4,10.0,5.0,5.0,2036.0,2036.0,4072.0,0.0,0.0,16.0,0.0,0.0,5.173045608445361,107.70000053197145,2.4500000178813934,0.002016128987194069,18.789258945693252,79.56,5.151674652437088,5.1336479729932725,98.70000045001507,0.9800000190734863,0.002016128987194069,18.544535214542062,77.4,5.109051167314011,1,0.0323,9.0,22.0,0.263,0,0.026679842,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.973,1,0.49999999999999994,0.8660254037844387,0.0,0.26
