source,target,service_date,arrival_hour,earliest_departure_hour,distance,total_services,src_degree,src_weighted_degree,src_avg_distance,tgt_degree,tgt_weighted_degree,tgt_avg_distance,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,temperature_2m,rain,snowfall,snow_depth,wind_speed_10m,wind_gusts_10m,soil_temperature_0_to_7cm,is_holiday,target_binary,count_intercity,count_sprinter,count_other_trains,rolling_prev_5_avg_delay,hours_since_prev_service,delta_hours_since_last_service,delta_count_services_since_last_delay,delta_hours_since_last_delayed_service,total_last_services_count,total_last_delayed_services_count,ratio_last_delay,service_year,service_month,day_of_week,YearMonth,YearMonthDayHour,arrival_hour_sin,arrival_hour_cos,day_of_week_sin,day_of_week_cos,month_of_year_sin,month_of_year_cos,hourly_edges_size,count_class_1,count_class_0,simultaneous_pred,simultaneous_null
RTZ,RTB,2024-02-28,10,10,3,4,4,16,6.0,6,36,15.333333333333334,0,0.0,24,0.0,0.0,5.691500186920166,0.4000000059604645,0.0,0.0,14.003028869628906,24.479999542236328,5.341500282287598,False,1,0,4,0,0.32399999999999995,1.0,1.0,1,1.0,4,1,0.25,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
ZTMO,LLZM,2024-02-28,10,10,2,2,4,12,3.0,4,12,15.0,0,0.0,16,0.0,0.0,6.699999809265137,0.10000000149011612,0.0,0.0,14.68958854675293,26.280000686645508,5.75,False,0,0,2,0,0.3,1.0,1.0,2,2.0,4,1,0.25,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
EHV,EHS,2024-02-28,10,10,1,4,14,48,36.285714285714285,4,16,10.0,0,0.0,56,0.0,0.0,4.208499908447266,0.0,0.0,0.0,8.66994857788086,18.35999870300293,3.7085001468658447,False,0,0,4,0,2.75,1.0,1.0,1,1.0,4,1,0.25,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
GD,UT,2024-02-28,10,10,32,8,12,52,33.0,25,121,38.03846153846154,0,0.0,300,0.0,0.0,5.7870001792907715,0.20000000298023224,0.0,0.0,14.799459457397461,26.639999389648438,5.0370001792907715,False,0,8,0,0,0.22400000000000003,1.0,1.0,2,2.0,8,1,0.125,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
BD,GZ,2024-02-28,10,10,10,3,10,32,38.8,4,9,16.0,0,0.0,40,0.0,0.0,5.375999927520752,0.0,0.0,0.0,10.805998802185059,20.51999855041504,4.625999927520752,False,1,0,3,0,1.4,1.0,1.0,1,1.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,1.0
HFD,SHL,2024-02-28,10,10,5,4,4,12,10.0,12,52,47.666666666666664,0,0.0,48,0.0,0.0,7.099999904632568,0.0,0.0,0.0,12.496719360351562,24.119998931884766,6.0,False,1,0,4,0,3.1,1.0,1.0,1,1.0,4,1,0.25,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
ZL,MP,2024-02-28,10,10,28,6,14,36,76.28571428571429,6,24,41.333333333333336,0,0.0,84,0.0,0.0,4.800000190734863,0.0,0.0,0.0,13.138765335083008,22.68000030517578,4.150000095367432,False,1,2,4,0,0.8,1.0,1.0,1,1.0,6,2,0.33333334,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
HAD,LEDN,2024-02-28,10,10,25,4,6,24,24.0,16,58,25.75,0,0.0,96,0.0,0.0,7.236999988555908,0.0,0.0,0.0,13.441070556640625,24.479999542236328,6.336999893188477,False,0,4,0,0,0.366,1.0,1.0,1,1.0,4,2,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
BR,VL,2024-02-28,10,10,2,4,4,12,12.0,2,6,4.0,0,0.0,8,0.0,0.0,4.741000175476074,0.0,0.0,0.0,8.396570205688477,18.0,4.141000270843506,False,1,4,0,0,0.734,1.0,1.0,1,1.0,4,2,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
ZL,WZ,2024-02-28,10,10,9,2,14,36,76.28571428571429,4,8,18.0,0,0.0,56,0.0,0.0,4.800000190734863,0.0,0.0,0.0,13.138765335083008,22.68000030517578,4.150000095367432,False,0,0,2,0,0.0,1.0,1.0,19,24.0,3,2,0.6666667,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
VTN,UTT,2024-02-28,10,10,2,2,4,12,11.0,4,12,4.0,0,0.0,16,0.0,0.0,5.704500198364258,0.0,0.0,0.0,16.05535316467285,27.0,4.554500102996826,False,0,0,2,0,9.142,1.0,1.0,2,2.0,6,4,0.6666667,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
BHV,DLD,2024-02-28,10,10,3,4,4,16,9.0,6,16,12.0,0,0.0,24,0.0,0.0,5.2870001792907715,0.0,0.0,0.0,13.009902954101562,24.119998931884766,4.186999797821045,False,0,0,4,0,0.1,1.0,1.0,1,1.0,4,1,0.25,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,1.0,0.0
RTN,RTA,2024-02-28,10,10,5,2,4,8,10.0,8,24,15.0,1,0.2,32,0.5138983423697507,0.14285714285714285,5.71750020980835,0.4000000059604645,0.0,0.0,14.003028869628906,24.479999542236328,5.367500305175781,False,0,0,2,0,0.5,1.0,1.0,3,3.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
DR,BMN,2024-02-28,10,10,6,2,8,17,20.5,4,8,13.0,1,0.2,32,0.9102392266268373,0.3333333333333333,3.9695000648498535,0.10000000149011612,0.0,0.0,11.620808601379395,22.319997787475586,3.5195000171661377,False,0,0,2,0,0.0,1.0,1.0,14,19.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
HTO,RS,2024-02-28,10,10,6,2,4,10,7.0,4,10,17.0,0,0.0,16,0.0,0.0,4.223999977111816,0.0,0.0,0.0,10.823972702026367,19.799999237060547,4.223999977111816,False,1,0,2,0,1.5,1.0,1.0,1,1.0,2,1,0.5,2024,2,3,2024-02,2024-02-28 10:00:00,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,650,357,293,0.0,1.0
