source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
ASD,ASB,2021-12-01,2021,12,10,50.0,0.94,25,100.0,1.89,10,53,0.4717,0.1887,4,65,1,65.0,0,15,9724.0,22968.67,32692.67,38.44642857142857,18.571428571428573,19.875,16,18.5,9.25,9.25,8964.0,8770.0,17734.0,3,0.23076923076923078,240,1.4085855403276248,0.35882352941176476,5.075158560152857,57.20000036805868,2.5200000628829002,0.00033602149786567814,15.082426358054402,70.2,4.600360165966014,5.006379092097162,51.90000046044588,4.199999898672104,0.0003629032176949324,15.882505896351029,68.76,4.551137111645432,2,0.0645,8.0,23.0,0.2629,0,0,0.2992,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-2.4492935982947064e-16,1.0,0.0,0.0
ASD,ASB,2020-12-01,2020,12,10,52.0,0.91,19,111.0,1.95,10,57,0.3333,0.1754,3,69,1,69.0,0,16,10682.0,24690.0,35372.0,45.7936507936508,18.571428571428573,27.22222222222222,13,18.523809523809526,8.666666666666666,9.857142857142858,9192.0,9146.0,18338.0,3,0.23076923076923078,208,1.4629070417448404,0.3875,5.255602101504963,110.9000009149313,0.0,0.0,15.197379439908971,86.03999,5.036650475955779,5.330236597948017,102.20000106096268,0.0,0.0,16.48199033592978,86.76,5.081513436170676,2,0.0645,8.0,22.0,0.2629,0,0,0.2992,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-2.4492935982947064e-16,1.0,1.0,0.0
HTNC,CL,2021-12-01,2021,12,9,1630.0,0.62,589,8447.0,3.22,905,2623,0.2246,0.345,4,2338,1,2338.0,0,5,4669.0,4832.0,9501.0,11.333333333333332,5.0,6.333333333333333,4,17.0,8.5,8.5,4669.0,4668.0,9337.0,0,0.0,20,0.0,0.0,5.086989252257251,44.90000004321337,4.409999914467335,0.0005645161164143394,15.0830701732988,65.520004,4.796196282615945,5.0376612971116215,42.30000042915344,2.5900000408291817,0.0010080644935970345,15.364259028947481,66.24,4.719919385022974,2,0.0645,8.0,23.0,0.2629,1,1,0.2992,1,0.107510485,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.892,1,-2.4492935982947064e-16,1.0,1.0,0.0
ASDM,ASSP,2019-12-01,2019,12,1,2194.0,0.93,1177,5287.0,2.24,602,2359,0.4989,0.2552,1,2347,1,2347.0,0,6,8392.0,5974.0,14366.0,4.666666666666667,2.3333333333333335,2.3333333333333335,4,3.0,1.5,1.5,4742.0,4741.0,9483.0,0,0.0,24,0.0,0.0,5.78714255073298,75.7000009343028,0.0,0.0,18.594170463661992,82.799995,5.121080660116007,5.78714255073298,75.7000009343028,0.0,0.0,18.594170463661992,82.799995,5.121080660116007,2,0.0645,9.0,20.0,0.2629,0,1,0.2992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,0.0,0.0
TB,OT,2019-12-01,2019,12,8,712.0,0.68,285,2101.0,2.01,362,1047,0.2722,0.3457,11,1059,1,1059.0,0,11,9875.0,6839.0,16714.0,30.46666666666667,16.666666666666668,13.8,4,17.0,8.5,8.5,2973.0,2973.0,5946.0,1,0.125,44,0.7213475204444817,0.25,5.719045755803905,71.10000067949295,0.0,0.0,17.143429099552094,80.64,5.323010848554713,5.755529647592896,67.4000005275011,0.0,0.0,17.543090880558054,81.72,5.391551198946032,2,0.0645,9.0,20.0,0.2629,1,1,0.2992,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,0.0,1.0
HLM,ASS,2022-12-01,2022,12,15,1634.0,1.08,492,9874.0,6.53,570,1513,0.3252,0.3767,70,2327,1,2327.0,0,10,9199.0,10989.0,20188.0,10.0,5.0,5.0,12,24.666666666666668,12.333333333333334,12.333333333333334,27171.0,21752.0,48923.0,0,0.0,120,0.0,0.0,4.109943654177891,70.70000042021275,0.5600000023841858,0.0,17.558546526457675,83.520004,3.6247285958179223,3.658742008680698,71.00000070035458,0.630000002682209,0.0,15.177493806327544,76.67999,3.2650592023036094,2,0.0645,9.0,21.0,0.2629,1,1,0.2992,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-2.4492935982947064e-16,1.0,1.0,0.0
HLM,HAD,2024-12-01,2024,12,4,2102.0,0.68,835,10525.0,3.42,756,3080,0.2711,0.2455,1356,3510,1,3510.0,0,12,9744.0,11181.16,20925.16,15.333333333333332,9.0,6.333333333333333,6,24.0,12.0,12.0,7093.0,5983.0,13076.0,1,0.1111111111111111,72,0.3789231816899512,0.07142857142857142,6.87519908696413,91.40000069141388,3.3599999248981476,0.0,18.02920041609836,91.439995,6.5840700778269,6.830078075890259,95.40000112354755,3.5699999555945396,0.0,16.863407502571743,87.479996,6.509580730110087,2,0.0645,9.0,20.0,0.2629,0,1,0.2992,0,0.66103894,0.0,0.0,0.0,0.661,0.0,0.0,0.0,0.339,1,-2.4492935982947064e-16,1.0,1.0,0.0
WP,DMN,2022-12-01,2022,12,7,1515.0,0.63,457,9191.0,3.79,811,2424,0.1885,0.3346,21,3216,1,3216.0,0,8,10504.0,10488.0,20992.0,18.0,9.0,9.0,4,9.0,4.5,4.5,6339.0,6327.0,12666.0,0,0.0,32,0.0,0.0,3.783591519237586,79.60000057518482,0.6300000101327896,0.0,16.331156688271673,74.88,3.3737796762963175,3.7900915027806357,79.60000057518482,0.6300000101327896,0.0,16.331156688271673,74.88,3.3802796047962,2,0.0645,9.0,21.0,0.2629,1,1,0.2992,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,-2.4492935982947064e-16,1.0,0.0,0.0
WP,DVD,2024-12-01,2024,12,9,8.0,0.16,3,184.0,3.68,7,50,0.06,0.14,0,346,1,346.0,0,14,8746.0,8609.0,17355.0,21.428571428571427,10.714285714285714,10.714285714285714,17,20.208333333333336,11.333333333333334,8.875,10363.0,10322.0,20685.0,2,0.14285714285714285,238,1.876989522792215,0.6,6.326333517629292,71.00000037252903,0.7700000107288361,0.0,16.054247581109564,75.96,5.966320079500957,6.267833272375727,71.00000037252903,0.7700000107288361,0.0,16.054247581109564,75.96,5.907819826916982,2,0.0645,9.0,20.0,0.2629,0,0,0.2992,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-2.4492935982947064e-16,1.0,1.0,0.0
GS,BZL,2019-12-01,2019,12,5,601.0,0.52,258,3185.0,2.77,251,1149,0.2245,0.2185,0,1152,1,1152.0,0,8,2388.0,2388.0,4776.0,38.0,19.0,19.0,4,11.0,5.5,5.5,2296.0,2297.0,4593.0,0,0.0,32,0.0,0.0,6.284819881226467,84.50000035762787,0.0,0.0,20.93756751892387,92.159996,5.89369083860869,6.291320071775987,84.50000035762787,0.0,0.0,20.93756751892387,92.159996,5.9001910353219635,2,0.0645,9.0,20.0,0.2629,0,1,0.2992,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-2.4492935982947064e-16,1.0,1.0,1.0
HN,HNK,2020-12-01,2020,12,1,684.0,0.6,213,3057.0,2.68,296,1142,0.1865,0.2592,12,1930,1,1930.0,0,8,5968.0,6109.0,12077.0,34.5,17.25,17.25,4,10.0,5.0,5.0,3971.0,4950.0,8921.0,0,0.0,32,0.0,0.0,5.491674715868368,108.50000037997961,0.0,0.0,16.520749212272705,89.27999,5.303973094109566,5.491674715868368,108.50000037997961,0.0,0.0,16.520749212272705,89.27999,5.303973094109566,2,0.0645,8.0,22.0,0.2629,0,1,0.2992,0,0.8992995,0.0,0.0,0.0,0.899,0.0,0.0,0.0,0.101,1,-2.4492935982947064e-16,1.0,0.0,0.0
HN,HNK,2021-12-01,2021,12,1,728.0,0.59,180,7934.0,6.41,427,1238,0.1454,0.3449,6,1293,1,1293.0,0,8,5431.0,4832.0,10263.0,40.0,22.75,17.25,4,10.0,5.0,5.0,2639.0,3754.0,6393.0,0,0.0,32,0.0,0.0,5.2678171899520185,65.30000028014183,1.8900000527501106,0.0003629032176949324,16.51916442899614,84.96,5.021715033869509,5.2678171899520185,65.30000028014183,1.8900000527501106,0.0002822580582071697,16.51916442899614,84.96,5.021715033869509,2,0.0645,8.0,23.0,0.2629,1,1,0.2992,1,0.9749596,0.0,0.0,0.00080775446,0.975,0.0,0.0,0.001,0.024,1,-2.4492935982947064e-16,1.0,0.0,1.0
HLM,ASS,2024-12-01,2024,12,15,1189.0,0.55,377,9224.0,4.29,534,2152,0.1752,0.2481,200,2348,1,2348.0,0,12,9744.0,11181.16,20925.16,15.333333333333332,9.0,6.333333333333333,17,28.069444444444443,14.444444444444445,13.625,26192.0,20533.0,46725.0,0,0.0,204,0.0,0.0,6.87519908696413,91.40000069141388,3.3599999248981476,0.0,18.02920041609836,91.439995,6.5840700778269,6.435422180601025,77.40000016242266,1.7499999776482582,0.0,14.038379416590736,78.479996,5.893755514775553,2,0.0645,9.0,20.0,0.2629,0,1,0.2992,0,0.9995353,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-2.4492935982947064e-16,1.0,0.0,0.0
