source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
DT,SDM,2019-04-01,2019,4,10,2293.0,1.1,1100,5569.0,2.68,558,2076,2076.0,422.0,136.0,0.5299,0.2688,1,2169,1,2169.0,0,9,8614.0,8537.0,17151.0,23.45,14.2,9.25,4,14.0,7.0,7.0,6251.0,6157.0,12408.0,1,0.16666666666666666,36,0.45511961331341866,0.1111111111111111,10.336208214142566,40.60000001639128,0.2800000011920929,0.0,13.908762316240205,70.56,10.805235987901687,10.308097050975388,29.200000077486038,0.07000000029802322,0.0,14.108397085136838,66.24,11.024555349018838,4,0.1333,8.0,20.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
DT,SDM,2021-04-01,2021,4,10,1187.0,0.57,653,4309.0,2.07,346,2077,2077.0,229.0,117.0,0.3144,0.1666,6,2295,1,2295.0,0,11,11109.0,11034.0,22143.0,19.6,7.6,12.0,6,15.333333333333334,7.666666666666667,7.666666666666667,8644.0,8496.0,17140.0,2,0.2857142857142857,66,1.8597274323132096,0.5909090909090909,6.396833346680634,42.6000002771616,8.469999946653843,0.0001388888857844803,14.622068029476537,84.96,7.324750024080276,6.393722206643886,44.400000154972076,5.389999978244305,0.0005694444317163693,14.027975160049067,75.96,7.604624951382478,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
HDE,NS,2022-04-01,2022,4,9,655.0,0.6,253,3043.0,2.78,183,1093,1093.0,123.0,60.0,0.2315,0.1674,11,1157,1,1157.0,0,4,2267.0,2278.0,4545.0,18.0,9.0,9.0,4,21.0,10.5,10.5,2275.0,2278.0,4553.0,0,0.0,16,0.0,0.0,8.860374968524816,54.000000700354576,4.130000002682209,0.003958333281075789,16.223251490294935,90.72,9.424194404938154,8.91961107235402,50.700000554323196,4.2700000032782555,0.003930555503918893,16.230992385082775,94.67999,9.50773607434498,4,0.1333,9.0,18.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
VST,GVM,2023-04-01,2023,4,6,493.0,0.2,187,53390.0,21.95,1848,2432,2432.0,184.0,1664.0,0.0769,0.7599,20,2112,1,2112.0,0,4,4128.0,4128.0,8256.0,8.0,4.0,4.0,4,9.0,4.5,4.5,4128.0,4128.0,8256.0,0,0.0,16,0.0,0.0,8.362694702995942,91.20000058412552,0.0,0.0,15.902925585375892,64.079994,8.98429197371006,8.40097222223671,98.40000069141388,0.0,0.0,16.545717788736024,68.03999,9.048194441861577,4,0.1333,10.0,17.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
DDZD,ZLW,2022-04-01,2022,4,14,1042.0,0.49,613,7990.0,3.79,277,2110,2110.0,87.0,190.0,0.2905,0.1313,1,2195,1,2195.0,0,4,4368.0,2275.0,6643.0,15.0,7.5,7.5,11,26.566666666666666,14.166666666666666,12.4,4499.23,4382.15,8881.38,1,0.14285714285714285,44,0.45511961331341866,0.1111111111111111,9.56822210231589,40.600000351667404,5.040000028908253,0.0031249999456728498,16.703325330548815,95.03999,10.116485962188905,9.611680691296028,39.800000719726086,6.019999846816063,0.00281944438142495,16.126838565535017,90.36,10.166680697931184,4,0.1333,9.0,18.0,0.2629,0,0,0.2338,0,0.0132701425,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.987,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
ALMB,ALM,2023-04-01,2023,4,6,200.0,0.46,55,9946.0,22.66,333,439,439.0,26.0,307.0,0.1253,0.7585,0,663,1,663.0,0,7,7013.0,5530.0,12543.0,11.5,7.5,4.0,17,27.47222222222222,14.222222222222221,13.25,11185.04,12029.4,23214.440000000002,3,0.2727272727272727,119,2.9110448940670484,0.9999999999999999,8.431402978298461,78.40000051259995,0.0,0.0,16.769303970866734,63.0,8.984389103121227,8.408708273991943,103.80000059306622,0.0,0.0,16.611840809716117,59.039997,9.163708223236931,4,0.1333,10.0,17.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
NS,HD,2019-04-01,2019,4,12,867.0,0.79,341,1503.0,1.37,332,1095,1095.0,305.0,27.0,0.3114,0.3032,0,1125,1,1125.0,0,4,2222.0,2222.0,4444.0,21.0,10.5,10.5,6,29.0,10.666666666666666,18.333333333333332,2253.0,2248.0,4501.0,0,0.0,24,0.0,0.0,10.304958369531152,31.8000001385808,0.3500000014901161,0.0,14.540417252315414,71.28,11.064194460544321,10.416458194806344,33.70000035315752,0.5600000023841858,0.0,14.513283135493596,69.479996,11.251666486925549,4,0.1333,8.0,20.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
NS,HD,2021-04-01,2021,4,12,562.0,0.51,302,1189.0,1.09,151,1093,1093.0,130.0,21.0,0.2763,0.1382,1,1147,1,1147.0,0,4,2274.0,2276.0,4550.0,21.0,10.5,10.5,6,29.0,10.666666666666666,18.333333333333332,2308.0,2302.0,4610.0,0,0.0,24,0.0,0.0,6.321763826430672,46.60000001639128,8.330000080168247,0.0008472222032853299,14.09194276370108,73.079994,7.345999926659796,6.317777686928295,50.60000021755695,8.120000049471855,0.0007777777603930898,13.609397207200526,69.84,7.393402650455633,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
RTZ,RTB,2022-04-01,2022,4,3,896.0,0.42,438,6099.0,2.82,491,2159,2159.0,365.0,126.0,0.2029,0.2274,23,2409,1,2409.0,0,6,4840.0,4842.0,9682.0,4.666666666666667,2.3333333333333335,2.3333333333333335,8,13.5,6.75,6.75,9383.0,7797.0,17180.0,1,0.16666666666666666,48,0.9102392266268373,0.3333333333333333,9.339208206524038,43.800000451505184,5.809999965131283,0.003194444393739104,16.37150054093864,93.24,9.979208164330986,9.332708508272965,43.800000451505184,5.809999965131283,0.003194444393739104,16.37150054093864,93.24,9.972708584616582,4,0.1333,9.0,18.0,0.2629,0,1,0.2338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
DMN,ASDM,2023-04-01,2023,4,3,96.0,1.28,23,127.0,1.69,24,75,75.0,23.0,1.0,0.3067,0.32,0,76,12,6.33,0,6,6345.33,6333.33,12678.66,8.0,4.0,4.0,8,5.0,2.5,2.5,10123.33,9613.33,19736.66,1,0.16666666666666666,48,1.4426950408889634,0.5,8.398597498858969,91.00000061839819,0.0,0.0,15.829497650886575,59.039997,9.121305867698457,8.372597477978303,91.00000061839819,0.0,0.0,15.829497650886575,59.039997,9.095305846134822,4,0.1333,10.0,17.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
