source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
RTD,SDM,2019-11-01,2019,11,4,2462.0,0.66,942,12663.0,3.38,1423,3751,0.2511,0.3794,156,4279,1,4279.0,0,21,14158.0,17890.0,32048.0,56.75,34.333333333333336,22.416666666666668,4,14.0,7.0,7.0,6536.0,6450.0,12986.0,1,0.06666666666666667,84,0.6213349345596119,0.2,6.541736119706184,82.20000063627958,0.0,0.0,14.224484509643581,80.64,6.476736136111948,6.515736098484033,82.20000063627958,0.0,0.0,14.224484509643581,80.64,6.450736114051607,0,0.0,9.0,21.0,0.2629,1,1,0.3458,1,0.5483871,0.0,0.0,0.0,0.548,0.0,0.0,0.0,0.452,4,-0.5000000000000004,0.8660254037844384,0.0,1.0
RTD,GD,2019-11-01,2019,11,24,31.0,1.19,14,30.0,1.15,1,26,0.5385,0.0385,4,28,1,28.0,0,21,14158.0,17890.0,32048.0,56.75,34.333333333333336,22.416666666666668,14,35.66666666666667,19.0,16.666666666666668,14733.0,9930.0,24663.0,2,0.1,294,1.1764671337579005,0.3611111111111111,6.541736119706184,82.20000063627958,0.0,0.0,14.224484509643581,80.64,6.476736136111948,6.552139024462344,81.70000045746565,0.0,0.0,14.770265819463464,79.92,6.296722345468071,0,0.0,9.0,21.0,0.2629,0,0,0.3458,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.5000000000000004,0.8660254037844384,0.0,0.0
UT,HVS,2024-11-01,2024,11,18,150.0,1.33,45,390.0,3.45,13,113,0.3982,0.115,6,604,1,604.0,0,35,23789.260000000002,36383.84,60173.1,48.07142857142857,22.785714285714285,25.285714285714285,20,28.717171717171716,15.272727272727273,13.444444444444445,14262.5,11302.5,25565.0,6,0.23076923076923078,700,2.9611730918455237,0.7880341880341879,6.979083491747992,70.20000031590462,13.160000048577785,0.0,12.542730348640019,73.079994,7.070680724084378,6.948111268753807,78.1000006198883,11.61999974399805,0.0,12.483765685144398,72.36,6.835889062947697,0,0.0,9.0,21.0,0.2629,0,0,0.3458,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.5000000000000004,0.8660254037844384,0.0,0.0
NML,EST,2022-11-01,2022,11,7,1466.0,0.82,543,6901.0,3.88,505,1778,0.3054,0.284,0,1998,1,1998.0,0,4,3964.0,3551.0,7515.0,8.0,4.0,4.0,7,14.25,7.25,7.0,4072.0,3987.0,8059.0,1,0.2,28,0.6213349345596119,0.2,8.806041730505724,71.30000030994415,0.0,0.0,15.390511479642656,61.199997,8.90888896766636,8.7820275992569,71.50000084936619,0.14000000059604645,0.0,15.665968380620082,60.839996,8.87841647921337,0,0.0,8.0,22.0,0.2629,1,1,0.3458,0,0.013498313,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.987,4,-0.5000000000000004,0.8660254037844384,0.0,1.0
RTST,RTB,2021-11-01,2021,11,4,19.0,1.46,2,600.0,46.15,10,13,0.1538,0.7692,0,26,1,26.0,0,6,88.0,91.0,179.0,4.666666666666667,2.3333333333333335,2.3333333333333335,8,13.5,6.75,6.75,8643.0,7515.0,16158.0,1,0.16666666666666666,48,0.9102392266268373,0.3333333333333333,7.665708526976717,53.70000030845404,5.180000051856041,0.0,12.95330696205298,63.0,7.78945853776402,7.620208511361852,53.70000030845404,5.180000051856041,0.0,12.95330696205298,63.0,7.743958521551556,0,0.0,8.0,22.0,0.2629,1,1,0.3458,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4,-0.5000000000000004,0.8660254037844384,1.0,0.0
WP,NDB,2022-11-01,2022,11,9,1791.0,0.88,700,5831.0,2.86,687,2036,0.3438,0.3374,5,2078,1,2078.0,0,8,10504.0,10488.0,20992.0,18.0,9.0,9.0,8,19.0,9.5,9.5,6117.0,6167.0,12284.0,1,0.14285714285714285,64,0.9102392266268373,0.3333333333333333,8.566264097692653,92.30000030249357,0.2800000011920929,0.0,18.17395676606231,68.76,8.354389091322405,8.523388682329095,96.40000062435865,0.9799999892711639,0.0,17.29720390174124,68.03999,8.431652567545987,0,0.0,8.0,22.0,0.2629,1,1,0.3458,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.5000000000000004,0.8660254037844384,1.0,1.0
AML,WDN,2019-11-01,2019,11,5,539.0,0.57,239,1102.0,1.17,74,942,0.2537,0.0786,43,977,1,977.0,0,9,3060.4,3814.0,6874.4,36.0,21.0,15.0,4,13.0,6.5,6.5,1910.0,1154.0,3064.0,0,0.0,36,0.0,0.0,6.0360416766670015,81.50000050663948,0.0,0.0,13.910022921197944,64.799995,5.940763904816574,6.023041801066655,81.50000050663948,0.0,0.0,13.910022921197944,64.799995,5.927764015893142,0,0.0,9.0,21.0,0.2629,0,0,0.3458,0,0.0010615712,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,4,-0.5000000000000004,0.8660254037844384,1.0,1.0
LDL,APN,2019-11-01,2019,11,14,332.0,0.29,202,3852.0,3.34,129,1154,0.175,0.1118,0,1161,1,1161.0,0,3,3114.0,1161.0,4275.0,21.5,7.5,14.0,4,22.0,11.0,11.0,2322.0,2718.0,5040.0,0,0.0,12,0.0,0.0,6.518764054604495,92.0000005736947,0.0,0.0,14.821924902498722,80.28,6.45063906295432,6.422069595179831,85.7000005543232,0.0,0.0,14.281040070785416,68.76,6.402972343977955,0,0.0,9.0,21.0,0.2629,0,0,0.3458,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.5000000000000004,0.8660254037844384,0.0,1.0
O,RVS,2021-11-01,2021,11,8,1557.0,1.41,672,5489.0,4.98,995,1102,0.6098,0.9029,8,1145,1,1145.0,0,8,4708.0,4854.0,9562.0,26.0,13.0,13.0,4,15.0,7.5,7.5,2306.0,2307.0,4613.0,0,0.0,32,0.0,0.0,6.600652799527678,36.80000026524067,4.829999819397926,0.0008333333147068819,12.181370123931103,57.96,6.851208391537269,6.626652613264095,36.80000026524067,4.829999819397926,0.0006527777631870574,12.181370123931103,57.96,6.877208160774575,0,0.0,8.0,22.0,0.2629,1,1,0.3458,1,0.001814882,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,4,-0.5000000000000004,0.8660254037844384,1.0,1.0
O,RVS,2023-11-01,2023,11,8,2183.0,2.31,562,7193.0,7.6,664,946,0.5941,0.7019,22,1146,1,1146.0,0,8,4868.0,4881.0,9749.0,26.0,13.0,13.0,4,15.0,7.5,7.5,2300.0,2300.0,4600.0,0,0.0,32,0.0,0.0,7.493361051277154,118.90000060200691,1.4699999913573265,0.0,19.29636855125427,93.24,7.72343050274584,7.519360911577112,118.90000060200691,1.4699999913573265,0.0,19.29636855125427,93.24,7.749430361390114,0,0.0,8.0,22.0,0.2629,1,1,0.3458,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.5000000000000004,0.8660254037844384,1.0,0.0
