source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
HGV,MP,2019-04-01,2019,4,20,306.0,0.29,71,1288.0,1.21,105,1065,1065.0,77.0,28.0,0.0667,0.0986,19,1102,1,1102.0,0,4,2208.0,2207.0,4415.0,34.0,17.0,17.0,6,41.333333333333336,20.666666666666668,20.666666666666668,4385.0,4172.0,8557.0,0,0.0,24,0.0,0.0,9.991277672402147,32.00000002980232,0.21000000089406967,0.0,14.435604909227955,63.0,10.535791573259566,10.032708327855087,26.80000039935112,0.14000000059604645,0.0,14.185841951436467,65.520004,10.490486110250155,4,0.1333,8.0,20.0,0.2629,0,0,0.2338,0,0.10892019,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.891,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
HGV,ZL,2021-04-01,2021,4,48,0.0,0.0,0,270.0,22.5,9,12,12.0,0.0,9.0,0.0,0.75,0,67,1,67.0,0,8,2468.0,2624.0,5092.0,56.0,28.0,28.0,16,86.95238095238095,47.285714285714285,39.666666666666664,4987.0,9889.0,14876.0,2,0.16666666666666666,128,1.279458146995729,0.41666666666666663,6.08850001088447,45.80000037699938,4.410000003874302,0.0005555555431379213,13.949975583950678,73.439995,6.929194478938977,6.27937500771756,45.20000035315752,4.060000002384186,0.0006944444289224015,14.424973858892917,73.799995,7.148263891372416,4,0.1333,8.0,19.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
SSH,NVP,2022-04-01,2022,4,11,788.0,0.5,317,5350.0,3.36,413,1591,1591.0,313.0,100.0,0.1992,0.2596,0,2009,1,2009.0,0,4,4119.0,3266.0,7385.0,19.0,9.5,9.5,4,16.0,8.0,8.0,4119.0,4119.0,8238.0,0,0.0,16,0.0,0.0,9.218875207462245,39.799999840557575,5.9499999061226845,0.002916666616996129,18.078021606140666,93.96,9.777625262737274,9.149625093862415,39.799999974668026,6.020000092685223,0.002374999946914613,16.935243708557554,93.24,9.48531956838237,4,0.1333,9.0,18.0,0.2629,0,1,0.2338,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
EML,HD,2023-04-01,2023,4,4,759.0,0.65,299,2105.0,1.81,333,1165,1165.0,293.0,40.0,0.2567,0.2858,0,1115,1,1115.0,0,4,2258.0,2257.0,4515.0,9.0,4.5,4.5,6,29.0,10.666666666666666,18.333333333333332,2291.0,2287.0,4578.0,0,0.0,24,0.0,0.0,8.31718057539935,91.10000048577785,0.0,0.0,14.812461014588674,60.479996,8.880236138403415,8.358055338522213,94.00000106543303,0.0,0.0,14.54778921107451,57.6,8.934791421227985,4,0.1333,10.0,17.0,0.2629,1,1,0.2338,1,0.0,0.0,0.0,0.013733906,0.0,0.0,0.0,0.014,0.986,2,0.8660254037844387,-0.4999999999999998,1.0,1.0
AH,AHP,2019-04-01,2019,4,1,177.0,0.18,52,1102.0,1.12,202,981,981.0,185.0,17.0,0.053,0.2059,11,992,1,992.0,0,15,8373.0,8403.0,16776.0,35.32142857142857,18.571428571428573,16.75,4,3.0,1.5,1.5,1979.0,1948.0,3927.0,0,0.0,60,0.0,0.0,10.357250295931266,30.80000003427267,0.07000000029802322,0.0,13.559267737136947,69.12,10.85391698843903,10.435249713735862,30.80000003427267,0.07000000029802322,0.0,13.559267737136947,69.12,10.9319163378742,4,0.1333,8.0,20.0,0.2629,0,1,0.2338,0,0.026503569,0.0,0.0,0.001019368,0.027,0.0,0.0,0.001,0.972,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
AH,AHP,2021-04-01,2021,4,1,117.0,0.12,42,1390.0,1.44,152,965,965.0,116.0,36.0,0.0435,0.1575,22,1080,1,1080.0,0,12,8743.0,8652.0,17395.0,23.057142857142857,12.2,10.857142857142858,4,3.0,1.5,1.5,2153.0,2112.0,4265.0,0,0.0,48,0.0,0.0,6.411833459247524,43.200000025331974,7.980000019073486,0.0010138888662267061,13.167466258174843,69.12,7.342319584969017,6.489833225780684,43.200000025331974,7.980000019073486,0.0010138888662267061,13.167466258174843,69.12,7.420319286733866,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.026943006,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.973,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
DLD,BHV,2020-04-01,2020,4,3,1821.0,0.82,1259,1384.0,0.62,216,2229,2229.0,190.0,26.0,0.5648,0.0969,1,2342,1,2342.0,0,6,4588.0,4589.0,9177.0,12.0,6.0,6.0,4,9.0,4.5,4.5,4587.0,4587.0,9174.0,0,0.0,24,0.0,0.0,10.895194602964652,22.100000336766243,0.0,0.0,13.052241726385223,60.839996,11.64790293019679,10.797764068402143,26.4000001847744,0.0,0.0,12.970482104768356,56.88,11.205055831289954,4,0.1333,8.0,19.0,0.2629,0,0,0.2338,0,0.0,0.0,0.0,0.00044863168,0.0,0.0,0.0,0.0,1.0,2,0.8660254037844387,-0.4999999999999998,0.0,0.0
EHV,GP,2022-04-01,2022,4,6,358.0,0.39,152,1835.0,1.99,194,921,921.0,157.0,37.0,0.165,0.2106,21,1889,1,1889.0,0,16,9823.5,13770.17,23593.67,31.730158730158728,14.285714285714286,17.444444444444443,4,11.0,5.5,5.5,2873.0,2841.0,5714.0,0,0.0,64,0.0,0.0,9.715305699159702,38.80000054836273,2.8700000047683716,0.0021527777296594447,14.25811559855938,80.64,10.520930742762156,9.630805625228419,38.80000054836273,2.8700000047683716,0.0021527777296594447,14.25811559855938,80.64,10.43643066038688,4,0.1333,9.0,18.0,0.2629,0,1,0.2338,0,0.0,0.0,0.0,0.0021715527,0.0,0.0,0.0,0.002,0.998,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
ALM,ASDZ,2020-04-01,2020,4,29,0.0,0.0,0,58320.0,59.94,972,973,973.0,0.0,972.0,0.0,0.999,0,1172,1,1172.0,0,12,8592.0,9532.0,18124.0,29.0,14.5,14.5,12,21.333333333333332,10.666666666666666,10.666666666666666,14904.0,11941.0,26845.0,1,0.09090909090909091,144,0.48089834696298783,0.125,10.352180457342829,20.000000156462193,0.0,0.0,15.302693079039454,61.56,11.12905539729529,10.299388853258764,20.10000016540289,0.0,0.0,13.681403834289975,60.479996,10.957236073580052,4,0.1333,8.0,19.0,0.2629,1,1,0.2338,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,1.0,0.0
GN,ASN,2022-04-01,2022,4,28,186.0,0.19,83,3930.0,3.92,101,1003,1003.0,0.0,101.0,0.0828,0.1007,9,1057,1,1057.0,0,2,0.0,2408.0,2408.0,15.0,0.0,15.0,9,76.0,37.333333333333336,38.666666666666664,4531.139999999999,3541.0,8072.139999999999,0,0.0,18,0.0,0.0,8.28095849188976,65.80000055581331,2.940000019967556,0.0034305554788766636,16.67062694893943,97.2,8.736652952267065,8.422083322584836,66.50000068545341,4.130000002682209,0.00402777773172905,15.999342281950845,96.12,8.91215277026511,4,0.1333,9.0,18.0,0.2629,0,0,0.2338,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.8660254037844387,-0.4999999999999998,0.0,1.0
