source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,count_delayed_services_3min,total_services,monthly_true_total_services,monthly_pure_delay_count,monthly_cancellation_count,ratio_departure_delayed,ratio_arrival_delayed,ratio_arrival_delayed_3min,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,target_absolute,target_threshold_month_relative,target_relative,target_schedule_adherence,target_regulatory_punctuality,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,simultaneous_pred,simultaneous_null
HWD,SGN,2023-05-01,2023,5,14,1142.0,0.93,277,3979.0,3.23,352,185,1230,1230.0,254.0,98.0,0.2252,0.2862,0.1504,9,1307,1,1307.0,0,6,4788.0,4752.0,9540.0,17.333333333333332,8.666666666666666,8.666666666666666,4,23.0,11.5,11.5,2587.0,2670.0,5257.0,0,0.0,24,0.0,0.0,12.325978784791884,71.40000002086163,0.0,0.0,13.805162414748182,50.76,13.429204558813444,12.188161373138428,70.70000045001507,0.0,0.0,14.119608618919887,54.36,13.313430163809048,3,0.0968,8.0,21.0,0.263,1,1,0.23745,1,0.2862,0.1504,0.9910569,0.0,0.0,0.0,0.991,0.0,0.0,0.0,0.009,2,0.49999999999999994,-0.8660254037844387,0.4545283913612366,0.27683424949645996
RVS,O,2024-05-01,2024,5,8,3901.0,3.42,1103,7144.0,6.26,1139,412,1142,1142.0,1023.0,116.0,0.9658,0.9974,0.3608,3,1151,1,1151.0,0,4,2294.0,2294.0,4588.0,15.0,7.5,7.5,8,26.0,13.0,13.0,4739.0,4740.0,9479.0,0,0.0,32,0.0,0.0,15.418021669310908,149.1000010073185,0.0,0.0,11.134158652315858,53.639996,15.680992108519359,15.392021249699336,149.1000010073185,0.0,0.0,11.134158652315858,53.639996,15.654991671603213,3,0.0968,8.0,21.0,0.263,1,1,0.23745,1,0.9974,0.3608,0.0017513135,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,2,0.49999999999999994,-0.8660254037844387,0.4147152602672577,0.34430521726608276
HWZB,ASS,2020-05-01,2020,5,7,571.0,0.24,231,1862.0,0.8,239,74,2336,2336.0,199.0,40.0,0.0989,0.1023,0.0317,0,2322,1,2322.0,0,4,4622.0,4622.0,9244.0,14.0,7.0,7.0,16,95.98412698412699,32.42857142857143,63.55555555555556,27536.0,20016.0,47552.0,0,0.0,64,0.0,0.0,12.590236738484393,17.900000229477882,0.0,0.0,15.34231558850696,70.92,14.013892680727025,12.51539508830155,19.600000090897083,0.0,0.0,13.933662029323719,67.32,13.850811718612588,3,0.0968,10.0,19.0,0.263,0,0,0.23745,0,0.1023,0.0317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.2059975564479828,0.26764747500419617
HWZB,ASS,2022-05-01,2022,5,7,662.0,0.28,306,4363.0,1.85,723,145,2359,2359.0,640.0,83.0,0.1297,0.3065,0.0615,0,2677,1,2677.0,0,4,5336.0,5335.0,10671.0,14.0,7.0,7.0,12,24.666666666666668,12.333333333333334,12.333333333333334,26973.0,19900.0,46873.0,0,0.0,48,0.0,0.0,13.11617761658084,54.20000023394823,0.0,0.0,14.720146503419645,73.079994,14.151930308470162,13.213446213353064,49.90000030398369,0.0,0.0,13.088754506441214,64.799995,14.400744459321421,1,0.0323,9.0,21.0,0.263,1,1,0.23745,1,0.3065,0.0615,0.0,0.0,0.0,0.0008478169,0.0,0.0,0.0,0.001,0.999,2,0.49999999999999994,-0.8660254037844387,0.23445026576519012,0.16414500772953033
HLM,OVN,2021-05-01,2021,5,2,310.0,0.19,117,23067.0,14.3,459,411,1613,1613.0,64.0,395.0,0.0725,0.2846,0.2548,84,1892,1,1892.0,0,15,9245.24,11305.33,20550.57,23.30357142857143,10.428571428571429,12.875,3,6.0,4.0,2.0,3785.0,1098.0,4883.0,0,0.0,45,0.0,0.0,10.536959854505396,90.10000094026327,0.0,0.0,16.443731342832887,99.0,11.064446419797918,10.53045961100568,90.10000094026327,0.0,0.0,16.443731342832887,99.0,11.057946175657293,3,0.0968,10.0,19.0,0.263,1,1,0.23745,1,0.2846,0.2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.1082075908780098,0.21231190860271454
UTO,HOR,2023-05-01,2023,5,9,549.0,0.48,255,1028.0,0.9,264,48,1141,1141.0,254.0,10.0,0.2235,0.2314,0.0421,7,1280,1,1280.0,0,7,8266.0,4143.0,12409.0,17.666666666666664,8.0,9.666666666666666,4,14.0,7.0,7.0,2533.0,2533.0,5066.0,1,0.2,28,0.9102392266268373,0.3333333333333333,13.09159121654367,68.10000040382147,0.0,0.0,12.808484610851092,48.239998,14.025260534337772,13.003618300602,59.30000028014183,0.0,0.0,13.027428010458587,50.039997,13.985741910114083,3,0.0968,8.0,21.0,0.263,0,1,0.23745,0,0.2314,0.0421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.2387172430753708,0.6049256324768066
GDM,ZBM,2022-05-01,2022,5,9,449.0,0.38,127,3713.0,3.13,252,129,1187,1187.0,165.0,87.0,0.107,0.2123,0.1087,33,1457,1,1457.0,0,7,4967.0,5153.0,10120.0,21.25,9.0,12.25,3,20.0,11.0,9.0,2616.0,1159.0,3775.0,1,0.2,21,0.48089834696298783,0.125,14.303234163791902,67.1000004708767,0.0,0.0,13.028969562101748,58.32,15.317212745066612,14.576833109060923,71.39999986439943,0.0,0.0,12.373377822740103,58.679996,15.454050837665475,1,0.0323,9.0,21.0,0.263,0,1,0.23745,0,0.2123,0.1087,0.00084245997,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,2,0.49999999999999994,-0.8660254037844387,0.24595396220684052,0.1958954632282257
HM,HMBH,2021-05-01,2021,5,1,1222.0,1.28,577,2506.0,2.62,411,103,957,957.0,365.0,46.0,0.6029,0.4295,0.1076,7,981,1,981.0,0,8,4314.0,4153.0,8467.0,12.0,6.0,6.0,3,5.5,4.5,1.0,1983.0,1002.0,2985.0,1,0.2,24,0.9102392266268373,0.3333333333333333,11.435389855215627,86.00000105798244,0.0,0.0,14.217007387068964,93.24,11.719126446272737,11.42238970213039,86.00000105798244,0.0,0.0,14.217007387068964,93.24,11.706126266910184,3,0.0968,10.0,19.0,0.263,1,1,0.23745,1,0.4295,0.1076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.20561926066875458,0.1314171552658081
AMPO,NDB,2020-05-01,2020,5,22,84.0,0.11,40,2060.0,2.63,71,37,784,784.0,38.0,33.0,0.051,0.0906,0.0472,0,1195,1,1195.0,0,6,6908.0,6920.0,13828.0,24.666666666666668,12.333333333333334,12.333333333333334,8,19.0,9.5,9.5,6641.0,6636.0,13277.0,1,0.16666666666666666,48,0.6213349345596119,0.2,13.012962138460528,19.40000019222498,0.0,0.0,15.781018693280476,75.96,15.396429758238536,12.869029598851357,26.400000117719173,0.0,0.0,14.3003534991895,73.079994,13.795508123854155,3,0.0968,10.0,19.0,0.263,0,0,0.23745,0,0.0906,0.0472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.18160991370677948,0.10673683881759644
AMPO,NDB,2022-05-01,2022,5,22,253.0,0.33,93,2016.0,2.62,113,47,770,770.0,77.0,36.0,0.1208,0.1468,0.061,0,958,1,958.0,0,6,6617.0,6642.0,13259.0,24.666666666666668,12.333333333333334,12.333333333333334,8,19.0,9.5,9.5,6272.0,6238.0,12510.0,1,0.16666666666666666,48,0.7213475204444817,0.25,13.761483641721869,51.90000054985285,0.0,0.0,14.006488868465988,67.67999,15.48870123586347,13.69853229708569,61.90000095963478,0.0,0.0,13.005246591904472,66.24,14.517215141045149,1,0.0323,9.0,21.0,0.263,0,0,0.23745,0,0.1468,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.49999999999999994,-0.8660254037844387,0.2504289150238037,0.2870635688304901
