source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,XGBClassifier_TOP_pred,XGBClassifier_TOP_proba
UT,UTZL,2024-10,2024,10,2,836.0,0.55,272,3429.0,2.24,329,1532,0.1775,0.2148,14,1513.0,1,1513.0,0,29,23736.0,36470.0,60206.0,45.01960784313725,22.666666666666668,22.352941176470587,4,7.0,3.5,3.5,3043.0,2806.0,5849.0,0,0.0,116,0.0,0.0,12.150741816207066,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.139466639013099,12.218090481086065,0.07476510109517398,0.0,0.0,13.090334057327885,24.778630151204617,12.03231860551258,0,0.0,8.0,23.0,0.2629,0,0.0006527415,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,4,-0.8660254037844386,0.5000000000000001,0.0,0.3448661267757416
UT,DB,2024-10,2024,10,12,1204.0,1.0,314,4214.0,3.51,380,1201,0.2614,0.3164,51,1611.0,1,1611.0,0,29,23736.0,36470.0,60206.0,45.01960784313725,22.666666666666668,22.352941176470587,10,30.0,15.0,15.0,5568.0,6253.0,11821.0,2,0.1,290,1.531574161186449,0.5333333333333333,12.150741816207066,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.139466639013099,12.209804975906474,0.07140939689722638,0.0,0.0,13.127462116023839,25.02990532529434,12.211549905482554,0,0.0,8.0,23.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.05742541328072548
UT,HVSP,2024-10,2024,10,17,2.0,0.15,1,0.0,0.0,0,13,0.0769,0.0,0,222.0,1,222.0,0,29,23736.0,36470.0,60206.0,45.01960784313725,22.666666666666668,22.352941176470587,7,15.916666666666668,9.25,6.666666666666667,4127.0,3678.0,7805.0,2,0.10526315789473684,203,0.9924051084544989,0.26666666666666666,12.150741816207066,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.139466639013099,12.185580338727707,0.0774496652635952,0.0,0.0,12.891962985424387,24.44520731252312,12.033231337758519,0,0.0,8.0,23.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.058872923254966736
UT,DVD,2024-10,2024,10,31,3.0,0.33,3,2.0,0.22,1,9,0.3333,0.1111,0,67.0,1,67.0,0,29,23736.0,36470.0,60206.0,45.01960784313725,22.666666666666668,22.352941176470587,15,20.482142857142858,11.625,8.857142857142858,10130.0,10170.0,20300.0,3,0.13636363636363635,435,1.47266180788711,0.390909090909091,12.150741816207066,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.139466639013099,12.195288579415955,0.07436241707545799,0.0,0.0,13.843367655965306,24.524455656781292,11.977100617453557,0,0.0,8.0,23.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.05700158700346947
UT,ASB,2024-10,2024,10,29,1998.0,0.8,578,9732.0,3.92,743,2484,0.2327,0.2991,147,2565.0,1,2565.0,0,29,23736.0,36470.0,60206.0,45.01960784313725,22.666666666666668,22.352941176470587,19,23.46666666666667,14.8,8.666666666666666,9542.1,9226.71,18768.809999999998,3,0.12,551,1.5046628859044444,0.4083333333333333,12.150741816207066,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.139466639013099,12.182288908478398,0.07436241707545799,0.0,0.0,13.843367655965306,24.524455656781292,11.964101016281434,0,0.0,8.0,23.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.00612206757068634
APD,APDO,2024-10,2024,10,3,954.0,0.99,291,905.0,0.94,27,962,0.3025,0.0281,1,930.0,1,930.0,0,5,2919.0,3659.0,6578.0,49.33333333333333,29.0,20.333333333333332,3,12.0,5.0,7.0,1855.0,931.0,2786.0,0,0.0,15,0.0,0.0,11.924785001805965,0.10657718207612134,0.0,0.0,13.22345410785419,23.824267867427544,11.902234595253963,11.976785047582332,0.10657718207612134,0.0,0.0,13.22345410785419,23.824267867427544,11.95423464231043,0,0.0,8.0,23.0,0.2629,0,0.002079002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,4,-0.8660254037844386,0.5000000000000001,0.0,0.00491747772321105
AMFS,AMF,2024-10,2024,10,3,1810.0,0.7,666,8560.0,3.31,763,2585,0.2576,0.2952,25,3234.0,1,3234.0,0,4,4198.0,4580.0,8778.0,6.0,3.0,3.0,17,47.02777777777778,24.25,22.77777777777778,12945.23,12744.5,25689.73,0,0.0,68,0.0,0.0,12.051966769263249,0.07181208145698445,0.0,0.0,13.08896924393289,23.788026112998093,11.95290641528648,12.152174432485696,0.06832214816904708,0.0,0.0,13.08858158068369,24.833717435478363,12.10640266405656,0,0.0,8.0,23.0,0.2629,1,0.28974855,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.71,4,-0.8660254037844386,0.5000000000000001,1.0,0.9496503472328186
ASS,ZD,2024-10,2024,10,6,7018.0,1.6,2456,18097.0,4.13,2657,4378,0.561,0.6069,30,4465.0,1,4465.0,0,17,26125.5,20597.0,46722.5,30.625,17.0,13.625,13,23.761904761904763,12.333333333333334,11.428571428571429,9194.0,9161.130000000001,18355.13,1,0.06666666666666667,221,0.5581106265512472,0.16666666666666666,12.078365847888408,0.08228187983068044,0.0,0.0,13.230330501306778,23.72182486873345,11.925681372776928,12.136866081801037,0.08228187983068044,0.0,0.0,13.230330501306778,23.72182486873345,11.984181619810578,0,0.0,8.0,23.0,0.2629,1,0.43375972,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.566,4,-0.8660254037844386,0.5000000000000001,1.0,0.931818962097168
ES,ESK,2024-10,2024,10,4,74.0,0.5,27,360.0,2.43,9,148,0.1824,0.0608,3,212.0,1,212.0,0,2,0.0,1419.0,1419.0,6.0,0.0,6.0,3,8.0,4.0,4.0,406.0,212.0,618.0,1,0.3333333333333333,6,0.7213475204444817,0.25,11.936335475332784,0.14375838993379733,0.0,0.0,11.958255985199205,23.24101949186133,11.872040196233147,11.954929652630083,0.14040268397571257,0.0,0.0,12.087044174299145,23.13809332751588,11.862379369159672,0,0.0,8.0,23.0,0.2629,0,0.08108108,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.919,4,-0.8660254037844386,0.5000000000000001,0.0,0.030445899814367294
UTO,BHV,2024-10,2024,10,6,813.0,0.39,365,5011.0,2.41,469,2082,0.1753,0.2253,5,2030.0,1,2030.0,0,10,9176.0,4479.0,13655.0,20.666666666666664,9.666666666666666,11.0,4,9.0,4.5,4.5,4124.0,4105.0,8229.0,0,0.0,40,0.0,0.0,12.224590540252276,0.07476510109517398,0.0,0.0,13.090334057327885,24.778630151204617,12.03881878052782,12.185590930273069,0.07476510109517398,0.0,0.0,13.090334057327885,24.778630151204617,11.999819195510558,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.9957209229469299
BZL,KRG,2024-10,2024,10,6,520.0,0.44,184,4263.0,3.62,291,1178,0.1562,0.247,0,1745.0,1,1745.0,0,4,3457.0,3456.0,6913.0,11.0,5.5,5.5,4,13.0,6.5,6.5,3457.0,3462.0,6919.0,0,0.0,16,0.0,0.0,12.78593635751097,0.07758389316349222,0.0,0.0,15.018637941347672,27.123703962684477,12.684661243745945,12.79893601692763,0.07758389316349222,0.0,0.0,15.018637941347672,27.123703962684477,12.697660833397167,0,0.0,8.0,23.0,0.2629,0,0.7037352,0.0,0.0,0.0,0.704,0.0,0.0,0.0,0.296,4,-0.8660254037844386,0.5000000000000001,1.0,0.9649524092674255
APD,AMF,2024-10,2024,10,43,1083.0,0.81,423,4956.0,3.69,347,1342,0.3152,0.2586,7,1471.0,1,1471.0,0,5,2919.0,3659.0,6578.0,49.33333333333333,29.0,20.333333333333332,17,47.02777777777778,24.25,22.77777777777778,12945.23,12744.5,25689.73,0,0.0,85,0.0,0.0,11.924785001805965,0.10657718207612134,0.0,0.0,13.22345410785419,23.824267867427544,11.902234595253963,12.152174432485696,0.06832214816904708,0.0,0.0,13.08858158068369,24.833717435478363,12.10640266405656,0,0.0,8.0,23.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.9922631978988647
VNDW,VNDC,2024-10,2024,10,1,1345.0,1.18,680,3194.0,2.8,709,1140,0.5965,0.6219,0,1141.0,1,1141.0,0,4,2302.0,2302.0,4604.0,15.0,7.5,7.5,3,5.5,4.5,1.0,2302.0,1161.0,3463.0,0,0.0,12,0.0,0.0,12.101533739998837,0.06751677909953482,0.0,0.0,13.053200117373626,24.160589981399127,12.055493484087439,12.150057226219433,0.06979865821815977,0.0,0.0,12.482435614790692,23.692831546348213,12.132204932654464,0,0.0,8.0,23.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.14284223318099976
ES,HGL,2024-10,2024,10,8,255.0,0.22,125,3990.0,3.4,122,1173,0.1066,0.104,18,1207.0,1,1207.0,0,2,0.0,1419.0,1419.0,6.0,0.0,6.0,7,15.416666666666668,7.75,7.666666666666667,2879.0,1622.0,4501.0,1,0.2,14,1.4426950408889634,0.5,11.936335475332784,0.14375838993379733,0.0,0.0,11.958255985199205,23.24101949186133,11.872040196233147,12.0134291562458,0.14040268397571257,0.0,0.0,12.087044174299145,23.13809332751588,11.920878777087935,0,0.0,8.0,23.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.10998720675706863
