source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,last_active_volume,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,RandomForestClassifier_ALLF_pred,RandomForestClassifier_ALLF_proba
KZ,ZZS,2024-07,2024,7,1,2398.0,1.56,722,4881.0,3.17,774,1539,0.4691,0.5029,0,1764,1,1764.0,0,4,3376.0,3376.0,6752.0,3.0,1.5,1.5,4,4.0,2.0,2.0,3376.0,3376.0,6752.0,0,0.0,16,0.0,0.0,17.406402987818563,0.14932795766220297,0.0,0.0,13.678357800969513,25.941289644087515,18.18093253335645,17.412903231959188,0.14932795766220297,0.0,0.0,13.678357800969513,25.941289644087515,18.187432777497076,0,0.0,8.0,23.0,0.2629,1,0.016244315,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.984,3,-0.4999999999999997,-0.8660254037844388,1.0,0.59
WT,RM,2024-07,2024,7,24,2274.0,1.15,618,9080.0,4.59,783,1979,0.3123,0.3957,10,2224,1,2224.0,0,5,4461.0,4975.0,9436.0,45.66666666666667,26.0,19.666666666666668,4,49.0,24.5,24.5,4454.0,4454.0,8908.0,0,0.0,20,0.0,0.0,18.469389473238298,0.10228494757045341,0.0,0.0,11.688404797386097,24.07306384014827,18.916701288633448,18.70305395895435,0.11290322566625252,0.0,0.0,11.5540424091441,23.44645094935612,19.067099792982944,0,0.0,8.0,23.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.82
NVP,SSH,2024-07,2024,7,11,3551.0,2.12,891,7301.0,4.37,972,1672,0.5329,0.5813,0,1848,1,1848.0,0,4,3669.0,3668.0,7337.0,16.0,8.0,8.0,4,19.0,9.5,9.5,3669.0,3071.0,6740.0,0,0.0,16,0.0,0.0,17.492320115848255,0.15672043041997058,0.0,0.0,13.867914629519307,27.054192825030256,18.09205129966941,17.490091303343412,0.15349462430082983,0.0,0.0,14.927523259674349,28.64419276419506,18.36468795550767,0,0.0,8.0,23.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.79
WV,HR,2024-07,2024,7,11,956.0,0.95,279,3557.0,3.55,341,1002,0.2784,0.3403,10,1023,1,1023.0,0,4,2081.0,2079.0,4160.0,24.0,12.0,12.0,7,34.083333333333336,18.75,15.333333333333334,4585.0,3069.0,7654.0,1,0.2,28,0.9102392266268373,0.3333333333333333,17.378244355160703,0.15779569955362427,0.0,0.0,14.207100115636344,26.51322509909189,17.97790838826087,17.38308311021456,0.1763440875476727,0.0,0.0,14.53479742763504,27.076450856783058,17.939131456036723,0,0.0,8.0,23.0,0.2629,1,0.20558882,0.0,0.0,0.000998004,0.206,0.0,0.0,0.001,0.793,3,-0.4999999999999997,-0.8660254037844388,1.0,0.58
AKM,GW,2024-07,2024,7,5,573.0,0.89,228,1108.0,1.72,241,643,0.3546,0.3748,1,925,1,925.0,0,4,1922.0,2234.0,4156.0,16.0,8.0,8.0,3,14.0,9.0,5.0,1921.0,997.0,2918.0,0,0.0,12,0.0,0.0,17.38618307600739,0.179166667523884,0.0,0.0,14.714498024153453,27.39483795627471,17.981277301747312,17.19127202674907,0.17553763664377633,0.0,0.0,14.220515223119849,26.523870253434744,17.717011387630176,0,0.0,8.0,23.0,0.2629,1,0.04354588,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.956,3,-0.4999999999999997,-0.8660254037844388,0.0,0.28
KZ,ZD,2024-07,2024,7,2,1104.0,0.72,375,4216.0,2.75,452,1535,0.2443,0.2945,0,1612,1,1612.0,0,4,3376.0,3376.0,6752.0,3.0,1.5,1.5,10,24.4,12.2,12.2,9136.0,9120.0,18256.0,0,0.0,40,0.0,0.0,17.406402987818563,0.14932795766220297,0.0,0.0,13.678357800969513,25.941289644087515,18.18093253335645,17.43182518020753,0.1620967753071298,0.0,0.0,13.312903246892397,25.521289638293688,18.25077664211232,0,0.0,8.0,23.0,0.2629,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.4999999999999997,-0.8660254037844388,0.0,0.48
AC,ASHD,2024-07,2024,7,4,713.0,0.46,174,3328.0,2.15,239,1547,0.1125,0.1545,4,1756,1,1756.0,0,4,3351.0,3350.0,6701.0,16.0,8.0,8.0,4,5.0,2.5,2.5,3351.0,3351.0,6702.0,0,0.0,16,0.0,0.0,17.60850525158708,0.17137096791217724,0.0,0.0,13.675127996312034,25.65338639097829,18.242510511029153,17.602005007446454,0.17137096791217724,0.0,0.0,13.675127996312034,25.65338639097829,18.236010266888528,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.86
AMR,CAS,2024-07,2024,7,12,122.0,0.23,60,2703.0,5.16,92,524,0.1145,0.1756,20,659,1,659.0,0,6,4530.0,5438.0,9968.0,12.0,6.0,6.0,8,20.0,10.0,10.0,6210.0,5684.0,11894.0,1,0.16666666666666666,48,1.4426950408889634,0.5,17.34002403930951,0.14206989220674,0.0,0.0,17.02825944566278,30.982741125809248,18.158169109334228,17.37916666077029,0.14623655877526728,0.0,0.0,16.52062333279079,30.140805592460016,18.173319869143988,0,0.0,8.0,23.0,0.2629,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.85
MZ,HZE,2024-07,2024,7,10,473.0,0.49,144,1638.0,1.69,172,969,0.1486,0.1775,7,932,1,932.0,0,3,1893.0,932.0,2825.0,18.5,8.5,10.0,4,15.0,7.5,7.5,1893.0,1893.0,3786.0,0,0.0,12,0.0,0.0,18.534390007295915,0.10228494757045341,0.0,0.0,11.688404797386097,24.07306384014827,18.981701822691065,18.481449114379064,0.12190860386697515,0.0,0.0,11.693414781683234,24.899999336529802,19.02177171425153,0,0.0,8.0,23.0,0.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.71
BR,HRT,2024-07,2024,7,10,880.0,0.78,283,4674.0,4.16,371,1123,0.252,0.3304,4,1192,1,1192.0,0,3,2735.0,1192.0,3927.0,16.0,6.0,10.0,4,28.0,14.0,14.0,2851.0,2777.0,5628.0,0,0.0,12,0.0,0.0,18.708539949950353,0.09717742045239736,0.0,0.0,11.736211629964972,23.948225205944432,19.145300634445682,18.55631717815194,0.07137096841489116,0.0,0.0,11.690118354574967,24.27387028355752,19.015658577283222,0,0.0,8.0,23.0,0.2629,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.4999999999999997,-0.8660254037844388,1.0,0.81
