source,target,YearMonth,year,month,distance,total_departure_delay_minutes,avg_departure_delay_minutes,count_delayed_departure_services,total_delay_minutes,avg_delay_minutes,count_delayed_services,total_services,ratio_departure_delayed,ratio_arrival_delayed,count_platform_changes,total_services_lag1,months_since_last_service,decayed_edge_weight,is_new_or_stale_route,src_degree,src_w_deg_inbound,src_w_deg_outbound,src_w_deg_total,src_avg_distance_total,src_avg_distance_in,src_avg_distance_out,tgt_degree,tgt_avg_distance_total,tgt_avg_distance_in,tgt_avg_distance_out,tgt_w_deg_inbound,tgt_w_deg_outbound,tgt_w_deg_total,common_neighbors,jaccard_coefficient,preferential_attachment,adamic_adar_index,resource_allocation_index,src_avg_temperature_2m,src_avg_rain,src_avg_snowfall,src_avg_snow_depth,src_avg_wind_speed_10m,src_avg_wind_gusts_10m,src_avg_soil_temperature,tgt_avg_temperature_2m,tgt_avg_rain,tgt_avg_snowfall,tgt_avg_snow_depth,tgt_avg_wind_speed_10m,tgt_avg_wind_gusts_10m,tgt_avg_soil_temperature,total_holidays,holiday_density_ratio,weekend_days,working_days,global_median,target_binary,raw_intercity,raw_intercity_direct,raw_international,raw_exceptions,ratio_intercity,ratio_intercity_direct,ratio_international,ratio_operational_exceptions,ratio_sprinter,season_ordinal,month_sin,month_cos,LogisticRegression_TOP_pred,LogisticRegression_TOP_proba
HWD,SGN,2024-10-01,2024,10,14,1132.0,1.03,319,3957.0,3.59,393,1103,0.2892,0.3563,2,1164,1,1164.0,0,6,4200.0,4263.0,8463.0,17.333333333333332,8.666666666666666,8.666666666666666,4,23.0,11.5,11.5,2371.0,2371.0,4742.0,0.0,0.0,24.0,0.0,0.0,12.176597651219208,0.07489932964512165,0.0,0.0,13.860875495628223,24.73224090409759,12.179550755904025,12.156271943149951,0.07476510134519347,0.0,0.0,13.686813185319004,24.375623495146733,12.081775374700559,0,0.0,8.0,23.0,0.263,1,0.9945603,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.005,4,-0.8660254037844386,0.5000000000000001,1.0,0.6433012444360896
UTLN,UTVR,2024-10-01,2024,10,3,2295.0,1.0,851,5697.0,2.49,926,2290,0.3716,0.4044,0,2207,1,2207.0,0,4,6581.0,6581.0,13162.0,7.0,3.5,3.5,6,7.333333333333333,3.6666666666666665,3.6666666666666665,9136.0,9029.0,18165.0,0.0,0.0,24.0,0.0,0.0,12.20924129550089,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.197966024539614,12.189741426186274,0.06604026929044084,0.0,0.0,13.02439290317113,24.24563688143788,12.178466217629861,0,0.0,8.0,23.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.5216223361396338
APD,APDO,2024-10-01,2024,10,3,954.0,0.99,291,905.0,0.94,27,962,0.3025,0.0281,1,917,1,917.0,0,5,2838.0,3443.0,6281.0,49.33333333333333,29.0,20.333333333333332,3,12.0,5.0,7.0,1829.0,917.0,2746.0,0.0,0.0,15.0,0.0,0.0,11.924785001805965,0.10657718207612134,0.0,0.0,13.22345410785419,23.824267867427544,11.902234595253963,11.976785047582332,0.10657718207612134,0.0,0.0,13.22345410785419,23.824267867427544,11.95423464231043,0,0.0,8.0,23.0,0.263,0,0.002079002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,4,-0.8660254037844386,0.5000000000000001,0.0,0.3169586603129484
UTO,BHV,2024-10-01,2024,10,6,813.0,0.39,365,5011.0,2.41,469,2082,0.1753,0.2253,5,2030,1,2030.0,0,10,7236.0,3807.0,11043.0,20.666666666666664,9.666666666666666,11.0,4,9.0,4.5,4.5,4115.0,3845.0,7960.0,0.0,0.0,40.0,0.0,0.0,12.224590540252276,0.07476510109517398,0.0,0.0,13.090334057327885,24.778630151204617,12.03881878052782,12.185590930273069,0.07476510109517398,0.0,0.0,13.090334057327885,24.778630151204617,11.999819195510558,0,0.0,8.0,23.0,0.263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.7224717182248784
SDM,DTCP,2024-10-01,2024,10,9,1562.0,1.43,580,2727.0,2.49,597,1096,0.5292,0.5447,0,1846,1,1846.0,0,7,8595.0,8203.0,16798.0,20.416666666666668,7.666666666666667,12.75,4,10.0,5.0,5.0,3714.0,3714.0,7428.0,1.0,0.2,28.0,0.6213349345596119,0.2,12.347338692453883,0.07906040342262127,0.0,0.0,13.272679543495178,24.56359660513449,12.374385641725272,12.271161419593248,0.08872483261679642,0.0,0.0,13.31423381639007,23.961019508950663,12.290087657006795,0,0.0,8.0,23.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.503896835481746
APD,DV,2024-10-01,2024,10,15,1808.0,1.56,490,5636.0,4.86,437,1160,0.4224,0.3767,6,1125,1,1125.0,0,5,2838.0,3443.0,6281.0,49.33333333333333,29.0,20.333333333333332,12,29.666666666666668,14.833333333333334,14.833333333333334,5913.0,6356.0,12269.0,0.0,0.0,60.0,0.0,0.0,11.924785001805965,0.10657718207612134,0.0,0.0,13.22345410785419,23.824267867427544,11.902234595253963,12.011107655979643,0.13073825578161535,0.0,0.0,12.5825792696652,23.679301383511334,11.992785610608607,0,0.0,8.0,23.0,0.263,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.4896738473961251
UTO,HVSP,2024-10-01,2024,10,14,322.0,0.6,135,777.0,1.45,145,535,0.2523,0.271,1,480,1,480.0,0,10,7236.0,3807.0,11043.0,20.666666666666664,9.666666666666666,11.0,7,15.916666666666668,9.25,6.666666666666667,3480.0,3364.0,6844.0,3.0,0.42857142857142855,70.0,2.2299456466569763,0.6588235294117647,12.224590540252276,0.07476510109517398,0.0,0.0,13.090334057327885,24.778630151204617,12.03881878052782,12.185580338727707,0.0774496652635952,0.0,0.0,12.891962985424387,24.44520731252312,12.033231337758519,0,0.0,8.0,23.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,1.0,0.6928661106707176
DVD,ASB,2024-10-01,2024,10,2,2734.0,1.69,955,7934.0,4.91,1074,1616,0.591,0.6646,0,1570,1,1570.0,0,15,9198.0,9132.0,18330.0,20.482142857142858,11.625,8.857142857142858,19,23.46666666666667,14.8,8.666666666666666,7801.1,7688.43,15489.53,5.0,0.35714285714285715,285.0,3.41610444623766,1.1254901960784314,12.195288579415955,0.07436241707545799,0.0,0.0,13.843367655965306,24.524455656781292,11.977100617453557,12.182288908478398,0.07436241707545799,0.0,0.0,13.843367655965306,24.524455656781292,11.964101016281434,0,0.0,8.0,23.0,0.263,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,-0.8660254037844386,0.5000000000000001,0.0,0.4117319378511996
DVD,ASA,2024-10-01,2024,10,2,1745.0,1.1,693,5952.0,3.76,797,1585,0.4372,0.5028,0,1532,1,1532.0,0,15,9198.0,9132.0,18330.0,20.482142857142858,11.625,8.857142857142858,10,18.8,9.4,9.4,8395.0,8303.0,16698.0,2.0,0.18181818181818182,150.0,0.7699885152890075,0.1497326203208556,12.195288579415955,0.07436241707545799,0.0,0.0,13.843367655965306,24.524455656781292,11.977100617453557,12.234288954254765,0.07436241707545799,0.0,0.0,13.843367655965306,24.524455656781292,12.016101063337903,0,0.0,8.0,23.0,0.263,1,0.005678233,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.994,4,-0.8660254037844386,0.5000000000000001,1.0,0.5206861886776567
ASS,HWZB,2024-10-01,2024,10,7,1740.0,0.93,706,3254.0,1.75,735,1861,0.3794,0.3949,0,2158,1,2158.0,0,17,23290.5,18188.0,41478.5,30.625,17.0,13.625,4,14.0,7.0,7.0,4340.0,4340.0,8680.0,0.0,0.0,68.0,0.0,0.0,12.078365847888408,0.08228187983068044,0.0,0.0,13.230330501306778,23.72182486873345,11.925681372776928,12.578513645965781,0.08429530230944589,0.0,0.0,15.309347440732406,27.94566368544662,12.482808958604032,0,0.0,8.0,23.0,0.263,1,0.0010746911,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999,4,-0.8660254037844386,0.5000000000000001,1.0,0.9367315346882408
